average_farm_price_per_tonne,average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
197.6,4466,4379.09,2422.96,980.54,865308.18,Peaty,Yes,377.18,11.11,Low,Yes,Medium
260,4241,2619.5,1526.27,617.66,681070,Silty,Yes,361.1,10.63,Low,No,Small
166.4,1995,289.59,358.7,145.16,48187.78,Clay,Yes,332.81,14.13,High,No,Small
312,3547,2201.87,1533.95,620.77,686983.44,Sandy,No,379.66,13.46,Medium,No,Small
187.2,3400,365.33,265.51,107.45,68389.78,Clay,Yes,221.58,12.51,Medium,No,Small
208,1838,528.48,710.5,287.53,109923.84,Peaty,No,297.62,11.8,High,No,Large
520,2786,802.67,711.93,288.11,417388.4,Loamy,No,476.27,6.84,Medium,No,Small
176.8,2389,1768.03,1828.75,740.07,312587.7,Loamy,No,391.22,14.3,High,Yes,Medium
156,1787,549.25,759.5,307.36,85683,Peaty,Yes,332.9,12.96,Low,Yes,Medium
520,4046,3288.14,2008.2,812.69,1709832.8,Loamy,No,424.41,14.65,Medium,No,Small
197.6,2747,2347.04,2111.27,854.4,463775.1,Loamy,No,299.72,13.37,High,Yes,Medium
416,2000,1167.14,1442.03,583.57,485530.24,Loamy,Yes,451.2,11.89,High,Yes,Medium
260,3635,2298.63,1562.59,632.36,597643.8,Loamy,No,444.02,9.73,High,Yes,Large
166.4,1459,494.62,837.71,339.01,82304.77,Silty,Yes,293.37,11,High,No,Large
197.6,3407,844.32,612.38,247.82,166837.63,Clay,Yes,506.03,4.43,Medium,No,Large
520,2322,815.67,868.03,351.28,424148.4,Clay,Yes,258.68,6.98,High,No,Small
187.2,5492,2104.53,946.91,383.2,393968.02,Sandy,Yes,317.36,12.11,High,No,Small
312,3747,965.26,636.57,257.61,301161.12,Loamy,Yes,366.76,17.3,Low,Yes,Medium
208,3330,2570.29,1907.3,771.86,534620.32,Peaty,Yes,512.81,15.72,Medium,No,Small
312,2652,2590.1,2413.38,976.66,808111.2,Peaty,No,354.45,11.69,Medium,No,Small
176.8,2607,1749.27,1658.05,670.99,309270.94,Silty,Yes,455.79,8.75,Medium,Yes,Small
176.8,2086,1056.16,1251.12,506.31,186729.09,Silty,No,563.64,10.88,Medium,No,Medium
312,3234,1348.87,1030.65,417.09,420847.44,Sandy,Yes,301.28,11.83,High,No,Medium
260,4638,3333.15,1775.84,718.66,866619,Loamy,No,402.39,11.45,Medium,No,Small
312,3724,495.93,329.07,133.17,154730.16,Silty,No,532.81,13.99,Medium,No,Medium
187.2,5829,4621.41,1959.12,792.83,865127.95,Sandy,No,503.68,13.53,Medium,Yes,Medium
166.4,2128,1512.03,1755.78,710.54,251601.79,Sandy,No,460.7,10.87,Medium,Yes,Medium
187.2,4007,3715.33,2291.18,927.21,695509.78,Peaty,No,249.22,14.99,High,No,Small
156,1301,361.03,685.72,277.5,56320.68,Silty,No,66.34,17.19,Low,Yes,Large
166.4,1889,1089.05,1424.61,576.52,181217.92,Clay,No,385.83,11.23,High,No,Small
520,2537,998.72,972.75,393.66,519334.4,Clay,Yes,438.51,4.95,High,Yes,Large
260,4620,4202.68,2247.84,909.67,1092696.8,Sandy,Yes,392.54,16.24,High,Yes,Small
312,2686,592.69,545.26,220.66,184919.28,Loamy,No,420.94,11.62,Medium,Yes,Large
208,3409,1536.1,1113.46,450.6,319508.8,Clay,No,521.66,16.21,Low,Yes,Medium
166.4,1710,1173.66,1696.01,686.35,195297.02,Clay,No,325.22,15.55,Medium,Yes,Large
197.6,4275,232.56,134.43,54.4,45953.86,Peaty,Yes,399.25,13.27,Medium,No,Small
166.4,1865,1111.91,1473.24,596.2,185021.82,Clay,No,471.89,10.29,Medium,No,Large
208,1670,1270.79,1880.35,760.95,264324.32,Sandy,Yes,154.4,6.48,Medium,Yes,Medium
197.6,3409,3199.93,2319.5,938.67,632306.17,Clay,No,520.75,7.2,Low,Yes,Large
197.6,3713,3433.93,2285.33,924.84,678544.57,Sandy,Yes,406.93,11.76,High,Yes,Medium
197.6,4062,3625.34,2205.41,892.5,716367.18,Sandy,No,348.16,15.87,Low,No,Small
520,3274,806.94,609.04,246.47,419608.8,Sandy,No,428.56,14.79,Medium,No,Medium
520,2794,869.07,768.62,311.05,451916.4,Sandy,No,198.57,12.88,Low,Yes,Medium
197.6,3947,1719.63,1076.59,435.68,339798.89,Loamy,No,344.84,10.51,High,No,Small
416,1337,759.43,1403.58,568.01,315922.88,Silty,No,258.09,14.2,Medium,Yes,Small
520,4178,1395.66,825.45,334.05,725743.2,Sandy,No,443.83,14.32,Medium,Yes,Medium
416,2046,1024.58,1237.43,500.77,426225.28,Loamy,No,514.85,11.14,Medium,Yes,Small
208,2163,1925.24,2199.43,890.08,400449.92,Peaty,No,268.66,12.25,Low,No,Small
187.2,4771,2866.56,1484.68,600.83,536620.03,Silty,Yes,470.72,11.86,Medium,Yes,Medium
156,2121,140.39,163.56,66.19,21900.84,Sandy,Yes,309.62,12.92,High,No,Medium
416,1873,1138.24,1501.68,607.71,473507.84,Silty,No,326.28,13.91,High,No,Medium
176.8,1433,1005.71,1734.23,701.82,177809.53,Loamy,Yes,263.76,11.21,Low,Yes,Small
166.4,1578,1086.86,1701.96,688.76,180853.5,Peaty,No,406.21,13.08,Medium,No,Small
260,4490,4239.68,2333.29,944.25,1102316.8,Sandy,No,391.08,14.76,Low,No,Medium
312,2934,1298.79,1093.86,442.67,405222.48,Sandy,Yes,360.14,12.58,Medium,Yes,Medium
312,2725,1878.32,1703.27,689.29,586035.84,Loamy,Yes,345.09,6.21,High,Yes,Large
312,2906,2487.25,2114.97,855.9,776022,Peaty,No,649.75,12.75,High,No,Large
520,2253,780.69,856.24,346.51,405958.8,Peaty,No,285.89,15.17,Low,Yes,Large
176.8,2581,626.92,600.22,242.9,110839.46,Sandy,Yes,351.58,9.45,High,No,Medium
156,1930,145.46,186.24,75.37,22691.76,Silty,No,435.06,17.29,Low,No,Medium
260,4113,2545.21,1529.14,618.82,661754.6,Sandy,Yes,521.93,12.25,Low,Yes,Medium
208,2142,2034.39,2346.9,949.76,423153.12,Silty,No,211.47,10.37,High,Yes,Medium
416,1511,120.61,197.24,79.82,50173.76,Clay,Yes,280.99,15.69,Low,No,Medium
176.8,2026,1420.29,1732.28,701.03,251107.27,Peaty,No,423.77,10.95,Medium,Yes,Large
187.2,5996,5840.58,2407,974.08,1093356.58,Peaty,No,495.74,10.99,High,No,Medium
416,1464,93.2,157.31,63.66,38771.2,Peaty,No,424.53,12.47,Medium,Yes,Small
208,3335,1490.64,1104.49,446.97,310053.12,Silty,No,510.3,10.95,Medium,No,Medium
187.2,3538,274.19,191.51,77.5,51328.37,Peaty,Yes,576.38,6.72,Medium,Yes,Small
312,2360,792.89,830.2,335.97,247381.68,Peaty,Yes,293.74,12.69,Low,No,Large
208,3235,2080.11,1588.89,643,432662.88,Clay,No,416.74,9.66,High,Yes,Large
260,3295,1452.24,1089.09,440.74,377582.4,Peaty,No,455.51,8.38,Low,Yes,Large
416,1187,452.45,941.89,381.17,188219.2,Clay,Yes,279.76,10.6,Medium,No,Small
156,2099,1113.46,1310.82,530.47,173699.76,Peaty,No,441.89,12.91,Medium,No,Small
312,1981,398.7,497.32,201.26,124394.4,Clay,Yes,275.67,6.84,Medium,No,Medium
156,1605,265.96,409.48,165.71,41489.76,Silty,No,253.57,16.92,High,Yes,Small
312,2097,1759.32,2073.14,838.97,548907.84,Clay,Yes,283.93,11.15,Medium,No,Medium
166.4,1223,312.56,631.53,255.57,52009.98,Clay,No,276.1,10.2,Low,No,Small
176.8,2258,406.35,444.69,179.96,71842.68,Peaty,Yes,522.34,10.83,Low,Yes,Medium
156,1894,1737.08,2266.32,917.15,270984.48,Clay,No,534.27,16.71,Medium,Yes,Medium
187.2,3941,2351.95,1474.7,596.79,440285.04,Clay,No,264.68,12.73,Medium,Yes,Small
520,2644,764.62,714.6,289.19,397602.4,Silty,Yes,546.67,6.18,Medium,Yes,Large
312,3478,2211.38,1571.14,635.82,689950.56,Peaty,Yes,420.06,15.8,High,No,Small
166.4,1717,260.86,375.43,151.93,43407.1,Peaty,Yes,379.81,10.75,Low,No,Medium
156,1842,926.19,1242.49,502.82,144485.64,Peaty,Yes,443.53,16.57,High,No,Large
520,3108,1141.91,907.89,367.41,593793.2,Clay,No,323.82,11.29,Low,Yes,Small
197.6,3049,2445.76,1982.15,802.15,483282.18,Loamy,Yes,261.16,14.35,Medium,No,Medium
520,2394,871.1,899.14,363.87,452972,Sandy,No,485.98,7.51,Low,Yes,Large
166.4,1542,540.21,865.68,350.33,89890.94,Loamy,Yes,344.34,12.35,Low,Yes,Medium
208,2927,2532.65,2138.13,865.27,526791.2,Loamy,Yes,515.11,12.43,Medium,Yes,Small
208,1917,1114.95,1437.19,581.61,231909.6,Loamy,Yes,291.56,12.58,Medium,Yes,Small
520,3367,287.07,210.68,85.26,149276.4,Silty,Yes,378.58,12.09,High,No,Medium
176.8,2870,2400.35,2066.69,836.36,424381.88,Sandy,No,463.29,13.44,High,No,Small
197.6,3648,440.42,298.33,120.73,87026.99,Clay,No,546.72,15.94,Medium,Yes,Medium
156,1456,714.56,1212.72,490.77,111471.36,Silty,Yes,222.6,9.17,High,No,Large
520,3928,2831.42,1781.21,720.83,1472338.4,Loamy,No,448.73,10.51,High,Yes,Small
197.6,3917,595.46,375.65,152.02,117662.9,Peaty,No,463.93,11.03,Low,Yes,Large
260,3555,1704.41,1184.72,479.44,443146.6,Silty,No,464.53,5.59,High,Yes,Medium
416,1603,1411.65,2176.08,880.63,587246.4,Silty,No,485.27,3.27,Medium,No,Small
176.8,2762,1034.59,925.61,374.58,182915.51,Loamy,No,352.91,9.51,Low,Yes,Medium
166.4,1711,1619.31,2338.63,946.41,269453.18,Peaty,No,329.9,10.32,Medium,No,Small
260,3745,479.96,316.69,128.16,124789.6,Loamy,Yes,475.41,17.25,Medium,Yes,Large
416,1915,688.52,888.44,359.54,286424.32,Clay,No,341.93,13.01,Medium,Yes,Medium
176.8,2229,1223.41,1356.26,548.86,216298.89,Loamy,No,364.68,8.48,High,Yes,Large
208,2684,649.07,597.57,241.83,135006.56,Sandy,Yes,484.06,14.25,Medium,No,Large
416,1534,1527.28,2460.23,995.62,635348.48,Sandy,No,500.27,11.32,Medium,Yes,Medium
156,2274,1466.68,1593.78,644.98,228802.08,Peaty,Yes,587.53,10.43,High,No,Large
156,2109,932.9,1093.04,442.34,145532.4,Clay,Yes,459.7,9.45,Medium,No,Medium
166.4,2052,1680.79,2024.04,819.1,279683.46,Peaty,Yes,399.99,15.47,Low,No,Small
208,2713,1634.26,1488.51,602.38,339926.08,Sandy,Yes,433.97,15.03,High,No,Small
187.2,5436,1162.6,528.48,213.87,217638.72,Clay,Yes,411.25,10.83,High,Yes,Small
260,2578,1266.44,1213.9,491.25,329274.4,Clay,Yes,264.82,12.78,Low,No,Large
416,1817,323.99,440.61,178.31,134779.84,Peaty,No,318.15,15.64,Medium,Yes,Large
176.8,2516,2383.81,2341.22,947.46,421457.61,Silty,Yes,358.74,10.49,Low,Yes,Large
312,2472,787.78,787.47,318.68,245787.36,Clay,Yes,441.86,7.43,Low,Yes,Medium
187.2,5076,4216.58,2052.68,830.69,789343.78,Clay,Yes,360.24,12.44,Low,No,Medium
187.2,5969,3162.85,1309.36,529.88,592085.52,Peaty,Yes,347.94,14.73,High,No,Medium
187.2,3479,1953.25,1387.35,561.44,365648.4,Peaty,Yes,295.92,11.22,Medium,No,Small
156,1880,1594.09,2095.25,847.92,248678.04,Sandy,Yes,460.95,9.57,High,Yes,Small
197.6,3479,475.86,337.99,136.78,94029.94,Peaty,Yes,409.67,14.68,High,Yes,Large
520,2510,1267.27,1247.61,504.89,658980.4,Sandy,Yes,278.77,13.32,Medium,No,Small
520,3630,854.07,581.39,235.28,444116.4,Peaty,No,306.53,11.51,Medium,Yes,Large
176.8,2832,1825.68,1592.99,644.66,322780.22,Sandy,Yes,489.37,15.24,Low,Yes,Medium
260,3736,1192.72,788.88,319.25,310107.2,Silty,No,458.67,10.86,Medium,Yes,Small
260,4649,1539.52,818.29,331.15,400275.2,Silty,Yes,352.84,14.7,Medium,Yes,Medium
176.8,2506,2030.16,2001.85,810.12,358932.29,Silty,Yes,366.5,12.31,Medium,No,Small
197.6,3120,2513.35,1990.58,805.56,496637.96,Sandy,Yes,621.41,13.68,Low,Yes,Small
197.6,4266,3852.45,2231.51,903.06,761244.12,Clay,No,450.1,11.37,Medium,Yes,Small
166.4,1870,310.74,410.61,166.17,51707.14,Sandy,Yes,441.44,9.1,Medium,No,Large
416,1643,1234.7,1856.97,751.49,513635.2,Silty,No,321.35,15.15,Medium,Yes,Large
260,4500,2371.68,1302.34,527.04,616636.8,Clay,No,436.54,8.43,Low,Yes,Medium
208,3247,366.65,279.03,112.92,76263.2,Sandy,Yes,521.4,14.56,Medium,No,Large
176.8,2929,2661.11,2245.05,908.54,470484.25,Silty,Yes,421.34,9.42,Low,No,Small
260,4489,3310.91,1822.55,737.56,860836.6,Loamy,No,470.56,15.82,Medium,No,Small
166.4,1818,1475.09,2004.96,811.38,245454.98,Peaty,No,403.95,8.3,Low,No,Small
416,2110,1863.95,2182.9,883.39,775403.2,Loamy,Yes,493.29,14.33,Low,No,Small
208,3439,3287,2361.83,955.8,683696,Clay,Yes,319,15.49,High,No,Medium
187.2,4940,4317.26,2159.55,873.94,808191.07,Clay,No,365.69,11.05,Medium,Yes,Small
208,2354,1514.54,1589.85,643.39,315024.32,Loamy,No,677.59,10.25,High,Yes,Medium
176.8,2201,127.42,143.05,57.89,22527.86,Sandy,No,378.36,5.09,Medium,No,Small
176.8,2998,1391.79,1147.16,464.24,246068.47,Sandy,No,504,18.2,Medium,Yes,Large
260,2401,1140.23,1173.5,474.9,296459.8,Clay,No,200.34,10.46,Low,No,Medium
208,2226,1857.13,2061.57,834.29,386283.04,Sandy,No,337.93,7,High,No,Small
260,3511,3132.06,2204.35,892.07,814335.6,Loamy,No,424.55,11.63,Medium,No,Small
416,1465,575.79,971.2,393.03,239528.64,Clay,No,409.83,9.25,Medium,No,Small
166.4,1080,515.69,1179.9,477.49,85810.82,Peaty,No,264.47,10.8,Medium,No,Small
520,2835,1771.39,1543.99,624.83,921122.8,Clay,Yes,307.5,9.63,High,No,Large
520,2947,1955.22,1639.44,663.46,1016714.4,Sandy,Yes,474.66,6.18,Low,Yes,Medium
176.8,2459,499.67,502.12,203.2,88341.66,Sandy,Yes,316.39,8.95,Low,No,Large
166.4,1824,1152.07,1560.76,631.62,191704.45,Sandy,Yes,593.19,13.12,Low,Yes,Medium
156,1745,283.27,401.13,162.33,44190.12,Clay,No,359.16,10.76,Medium,Yes,Medium
156,1142,1121.75,2427.24,982.27,174993,Peaty,No,258.56,7.95,Medium,No,Large
208,3337,2886.91,2137.75,865.12,600477.28,Loamy,Yes,525.54,14.51,High,Yes,Large
260,3344,2399.29,1772.95,717.49,623815.4,Silty,No,379.44,15.31,Medium,Yes,Large
166.4,2123,1500.6,1746.61,706.83,249699.84,Silty,No,526.79,11.62,Low,No,Large
260,4559,1977.01,1071.57,433.65,514022.6,Sandy,Yes,569.47,11.34,High,No,Medium
187.2,5989,3255.26,1343.11,543.54,609384.67,Sandy,No,403.6,8.84,Low,No,Large
156,2016,1053.82,1291.69,522.73,164395.92,Clay,Yes,342.09,11.58,Medium,No,Medium
187.2,5100,415.39,201.27,81.45,77761.01,Loamy,No,371.76,13.37,Low,No,Large
260,2355,247.72,259.93,105.19,64407.2,Sandy,No,234.31,10.06,Medium,Yes,Medium
197.6,4054,3023.03,1842.64,745.69,597350.73,Peaty,No,536.86,12.67,High,Yes,Medium
197.6,4235,3603.6,2102.64,850.91,712071.36,Loamy,Yes,400.75,10.1,High,Yes,Large
176.8,2880,180.52,154.89,62.68,31915.94,Loamy,Yes,381.3,12.18,Medium,No,Large
197.6,2598,766.38,728.94,294.99,151436.69,Clay,Yes,573.26,6.45,Low,No,Medium
520,2800,1402.13,1237.4,500.76,729107.6,Clay,Yes,520.48,15.5,High,No,Large
197.6,4014,1758.45,1082.52,438.08,347469.72,Silty,Yes,541.04,10.43,High,No,Large
416,1479,832.46,1390.83,562.85,346303.36,Loamy,No,353.86,7.88,Low,Yes,Small
166.4,1937,916.74,1169.5,473.28,152545.54,Sandy,No,459.78,9.35,High,Yes,Medium
156,2379,869.14,902.77,365.34,135585.84,Silty,No,339.77,8.78,Low,Yes,Large
260,4424,3505.09,1957.79,792.29,911323.4,Loamy,No,432.23,12.64,Low,Yes,Large
176.8,2745,1149.63,1034.9,418.81,203254.58,Clay,No,493.2,14.58,Low,Yes,Large
520,2804,2159.61,1903.18,770.19,1122997.2,Clay,No,398.92,9.03,Medium,Yes,Medium
187.2,5063,1610.84,786.19,318.16,301549.25,Clay,Yes,330.6,14.56,Low,Yes,Medium
197.6,3575,1311.67,906.63,366.9,259185.99,Sandy,Yes,507.66,11.13,Medium,No,Small
260,3506,2310.45,1628.42,659,600717,Peaty,Yes,343.16,7.42,Medium,Yes,Large
416,1144,521.09,1125.56,455.5,216773.44,Loamy,No,249.7,15.73,High,Yes,Medium
312,2206,1753.97,1964.71,795.09,547238.64,Clay,Yes,276.08,14.77,Medium,Yes,Medium
197.6,3399,440.75,320.42,129.67,87092.2,Silty,Yes,314.93,7.59,Medium,Yes,Medium
166.4,1686,1286.15,1885.02,762.84,214015.36,Silty,No,483.13,15.89,High,No,Large
166.4,1839,485.44,652.28,263.97,80777.22,Silty,No,417.71,12.64,High,Yes,Small
520,3043,2768,2247.74,909.63,1439360,Clay,Yes,307.63,4.9,Low,Yes,Medium
166.4,1677,598.99,882.61,357.18,99671.94,Silty,Yes,616.19,17.9,Low,No,Small
520,3573,274.84,190.07,76.92,142916.8,Peaty,No,477.92,13,High,No,Small
312,3170,1465.87,1142.66,462.42,457351.44,Peaty,No,599.36,8.49,Medium,No,Small
197.6,4219,1114.03,652.48,264.05,220132.33,Clay,Yes,492.92,10.57,Low,No,Small
197.6,3551,3059.22,2128.83,861.51,604501.87,Sandy,No,340.14,10.95,Medium,No,Small
187.2,5665,1756.66,766.25,310.09,328846.75,Sandy,No,472.94,21.3,Medium,Yes,Medium
197.6,3146,2420.19,1900.95,769.29,478229.54,Silty,No,229.55,10.69,Low,Yes,Medium
260,4216,262.83,154.05,62.34,68335.8,Sandy,Yes,443.34,11.07,Low,No,Small
260,3144,1372.89,1079.03,436.67,356951.4,Clay,Yes,452.59,7.05,Low,Yes,Medium
208,3391,704.21,513.16,207.67,146475.68,Silty,Yes,301.13,18.47,Medium,No,Small
260,3655,818.28,553.22,223.88,212752.8,Silty,Yes,520.68,7.58,Medium,Yes,Small
208,2731,2599.69,2352.24,951.92,540735.52,Sandy,No,489.93,13.01,Medium,Yes,Small
416,1630,805.12,1220.55,493.94,334929.92,Silty,No,364.29,10.35,Low,No,Large
260,2464,938.96,941.64,381.07,244129.6,Clay,Yes,279.38,6.83,Medium,Yes,Large
156,2285,1168.05,1263.15,511.18,182215.8,Peaty,Yes,318.62,12.41,High,Yes,Medium
520,3709,2198.29,1464.57,592.69,1143110.8,Loamy,No,382.71,21.26,Low,No,Large
197.6,3949,1757.86,1099.96,445.14,347353.14,Loamy,Yes,389.13,13.52,Medium,Yes,Large
166.4,1803,1607.25,2202.77,891.43,267446.4,Sandy,Yes,469.66,19.52,Low,Yes,Large
520,3506,2012.37,1418.33,573.98,1046432.4,Loamy,Yes,354.85,9.05,High,Yes,Medium
312,2447,631.89,638.1,258.23,197149.68,Loamy,No,154.45,11.14,High,Yes,Small
520,3254,1249.21,948.64,383.9,649589.2,Peaty,No,456.54,6.31,Low,Yes,Small
197.6,3795,3304.69,2151.79,870.8,653006.74,Loamy,Yes,350.6,12.12,Medium,Yes,Large
176.8,2143,220.94,254.77,103.1,39062.19,Silty,Yes,368.7,10.6,Medium,Yes,Small
156,1760,938.56,1317.74,533.27,146415.36,Silty,No,477.16,10.91,High,Yes,Small
260,3139,190.54,149.99,60.7,49540.4,Peaty,No,241.21,9.02,Medium,Yes,Small
416,2140,2058.47,2376.9,961.9,856323.52,Sandy,Yes,300.91,13.4,Medium,No,Small
156,2102,1028.82,1209.46,489.45,160495.92,Sandy,No,506.25,12.39,High,Yes,Large
260,3551,1634.13,1137.15,460.19,424873.8,Sandy,No,351.05,10.92,High,Yes,Large
176.8,2291,2214.5,2388.54,966.61,391523.6,Clay,Yes,396.31,11.69,Medium,Yes,Medium
176.8,2670,2054.99,1901.87,769.66,363322.23,Loamy,No,429.42,10.87,Medium,No,Large
156,1653,1556.96,2327.48,941.9,242885.76,Sandy,No,253.91,13.86,Low,No,Small
187.2,4650,1788.72,950.54,384.67,334848.38,Peaty,Yes,467.02,10.74,High,No,Small
208,2811,1250.53,1099.3,444.87,260110.24,Sandy,Yes,365.22,15.6,Medium,Yes,Medium
156,1865,885.82,1173.67,474.97,138187.92,Peaty,Yes,423.39,17.25,Low,Yes,Medium
208,2407,1859.38,1908.86,772.49,386751.04,Peaty,Yes,514.95,9.14,Medium,No,Large
156,1608,1214.8,1866.8,755.47,189508.8,Peaty,No,362.88,12.71,Medium,No,Small
187.2,5226,1023.98,484.18,195.94,191689.06,Clay,Yes,564.3,11.07,High,No,Large
416,1955,1467.77,1855.21,750.78,610592.32,Silty,Yes,404.67,8.58,Medium,No,Large
166.4,1970,1947.46,2442.78,988.56,324057.34,Silty,Yes,306.49,14.78,Medium,Yes,Small
520,4108,3474.63,2090.06,845.82,1806807.6,Sandy,Yes,381.92,10.18,High,No,Large
312,3359,719.97,529.64,214.34,224630.64,Clay,Yes,333.44,16.34,Low,No,Medium
166.4,1537,665.81,1070.43,433.19,110790.78,Clay,Yes,412.55,15.53,Medium,Yes,Small
260,4351,2380.04,1351.69,547.01,618810.4,Sandy,No,406.38,9.77,Medium,Yes,Medium
197.6,2812,2145.27,1885.16,762.9,423905.35,Clay,No,425.13,5.56,Low,Yes,Small
312,3713,1496.41,995.88,403.02,466879.92,Peaty,Yes,346.47,14.29,High,Yes,Medium
166.4,1931,1198.84,1534.13,620.84,199486.98,Sandy,No,464.21,16.51,Medium,Yes,Small
312,2619,1160.9,1095.32,443.26,362200.8,Loamy,Yes,355.72,12.48,Low,No,Large
197.6,2504,827.82,816.93,330.6,163577.23,Silty,Yes,212.05,12.22,Medium,No,Small
312,2750,663.05,595.79,241.11,206871.6,Sandy,No,417.35,16.72,Low,No,Medium
166.4,1347,907.58,1664.94,673.78,151021.31,Peaty,No,265.25,12.01,Low,No,Small
260,2947,213.3,178.85,72.38,55458,Loamy,No,465.2,6.35,Low,No,Large
520,2913,857.65,727.53,294.42,445978,Clay,No,451.54,8.35,Medium,Yes,Large
416,1987,330.1,410.52,166.13,137321.6,Loamy,Yes,423.6,14.55,High,Yes,Medium
176.8,2474,1910.72,1908.44,772.32,337815.3,Sandy,No,461.48,11.31,Medium,Yes,Medium
187.2,3687,1120.33,750.85,303.86,209725.78,Silty,No,259.26,10.62,Medium,No,Medium
156,1447,748.43,1278.1,517.23,116755.08,Peaty,Yes,267.53,16.08,Medium,Yes,Medium
197.6,4413,3570.21,1999.13,809.02,705473.5,Clay,Yes,454.34,13.68,Low,Yes,Small
208,2763,2582.99,2310.06,934.85,537261.92,Peaty,No,408.77,11.04,High,No,Large
