average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
4729,3792.14,1981.51,801.89,985956.4,Peaty,Yes,361.22,13.75,Medium,Yes,Small
3233,3203.19,2448.27,990.78,832829.4,Silty,No,440.82,10.25,Medium,Yes,Small
2340,1392.53,1470.52,595.1,362057.8,Clay,Yes,290.27,10.84,Medium,Yes,Medium
2742,1607.72,1448.85,586.33,418007.2,Silty,No,234.44,12.86,High,Yes,Large
4738,1036.63,540.64,218.79,269523.8,Loamy,Yes,490.89,13.9,Medium,No,Medium
2933,2241.84,1888.75,764.35,582878.4,Clay,Yes,603.08,11.14,High,Yes,Small
4286,1042.06,600.79,243.13,270935.6,Loamy,Yes,585.27,14.91,Medium,Yes,Large
3284,350.93,264.06,106.86,91241.8,Loamy,Yes,280.58,10.54,High,No,Large
3681,2696.37,1810.07,732.51,701056.2,Silty,Yes,320.99,11.97,Medium,No,Large
4296,715.63,411.63,166.58,186063.8,Peaty,Yes,480.4,17.7,High,No,Small
4218,3541.56,2074.77,839.63,920805.6,Clay,No,400.56,9.72,Medium,Yes,Large
3998,1211.71,748.93,303.08,315044.6,Silty,Yes,379.81,13.28,Medium,Yes,Small
3953,943.54,589.81,238.69,245320.4,Sandy,No,304.96,13.88,Medium,Yes,Medium
4795,4255.23,2192.88,887.43,1106359.8,Silty,Yes,434.62,11.61,Low,Yes,Small
4308,1996.63,1145.26,463.47,519123.8,Peaty,No,466.22,12.4,Medium,Yes,Large
4698,3451.76,1815.55,734.73,897457.6,Loamy,Yes,423.73,10.76,Medium,No,Large
3751,2750.76,1812.12,733.34,715197.6,Clay,Yes,441.45,9.21,Medium,Yes,Small
4003,2049.66,1265.25,512.03,532911.6,Silty,Yes,401.89,8.61,Low,Yes,Large
3773,3449.2,2258.98,914.18,896792,Loamy,No,407.86,15.94,Medium,No,Medium
2867,650.75,560.88,226.98,169195,Peaty,No,244.67,9.68,High,No,Large
4608,4534.18,2431.46,983.98,1178886.8,Loamy,Yes,516.11,15.46,Medium,Yes,Small
4090,759.96,459.15,185.81,197589.6,Peaty,No,477.31,11.22,Low,Yes,Medium
2282,2018.22,2185.42,884.41,524737.2,Peaty,No,234.57,7.7,Low,No,Large
4355,1252.15,710.48,287.52,325559,Loamy,No,399.98,9.6,Medium,No,Small
3638,3008.92,2043.76,827.08,782319.2,Loamy,No,337.4,10.55,Low,No,Medium
2314,1001.27,1069.22,432.7,260330.2,Clay,No,269.69,16.45,Medium,Yes,Small
2964,1330.24,1109.01,448.8,345862.4,Clay,No,294.52,15.12,Medium,Yes,Large
3277,1156.58,872.13,352.94,300710.8,Peaty,No,262.73,11.46,Medium,No,Small
3351,1599.63,1179.58,477.36,415903.8,Clay,No,516.39,12.21,Low,Yes,Medium
3414,1787.06,1293.47,523.45,464635.6,Loamy,No,304.29,12.78,High,No,Medium
3909,3546.01,2241.59,907.14,921962.6,Silty,Yes,384.33,15.03,High,Yes,Small
3901,1637.21,1037.07,419.69,425674.6,Clay,No,319.78,11.58,High,Yes,Large
2928,1181.74,997.32,403.6,307252.4,Sandy,Yes,619.34,15.19,Low,Yes,Large
4136,441.77,263.93,106.81,114860.2,Sandy,Yes,431.7,9.35,Medium,Yes,Medium
3062,176.28,142.26,57.57,45832.8,Clay,Yes,298.32,15.45,Medium,No,Medium
3714,3321.21,2209.71,894.24,863514.6,Loamy,No,433.46,9.3,Medium,Yes,Small
4668,1695.42,897.49,363.2,440809.2,Peaty,No,552.59,13.29,Low,No,Small
2619,2011.31,1897.69,767.97,522940.6,Clay,Yes,157.65,8.43,Low,No,Large
4351,4234.7,2405,973.27,1101022,Loamy,No,415.71,12.65,High,No,Medium
4156,3622.66,2153.94,871.67,941891.6,Loamy,Yes,507.77,10.99,Medium,No,Medium
3515,2382.64,1675,677.85,619486.4,Clay,No,462.82,14.64,Medium,Yes,Small
4436,1137.7,633.75,256.47,295802,Clay,No,397.15,9.25,Medium,No,Medium
4625,3025.17,1616.29,654.09,786544.2,Peaty,Yes,529.03,13.82,Medium,Yes,Large
3477,1773.13,1260.14,509.96,461013.8,Clay,Yes,387.16,9.19,Medium,Yes,Large
4287,952.14,548.82,222.1,247556.4,Sandy,Yes,456.51,10.38,High,Yes,Medium
2606,2060.82,1954.11,790.8,535813.2,Sandy,No,238.1,11.83,Medium,No,Medium
3014,566.9,464.78,188.09,147394,Sandy,No,233.67,10.78,Medium,No,Medium
4579,521.5,281.43,113.89,135590,Silty,Yes,561.21,13,High,Yes,Medium
3549,3247.94,2261.43,915.17,844464.4,Peaty,No,441.67,15.12,Low,Yes,Medium
4736,1308.6,682.78,276.31,340236,Silty,No,343.34,14.56,Medium,Yes,Medium
2518,234.8,230.43,93.25,61048,Sandy,Yes,262.78,13.79,Low,Yes,Medium
3321,2723.19,2026.24,819.99,708029.4,Loamy,Yes,267.41,9.63,High,Yes,Medium
3795,205.04,133.51,54.03,53310.4,Clay,No,396.05,9.96,Low,No,Small
4044,2375.81,1451.72,587.49,617710.6,Peaty,Yes,323.3,9.99,High,Yes,Small
2915,2838.98,2406.61,973.92,738134.8,Clay,No,240.58,16.75,Medium,No,Large
3612,3494.28,2390.52,967.41,908512.8,Sandy,Yes,438.55,7.75,Medium,Yes,Medium
3481,1775.34,1260.26,510.01,461588.4,Loamy,Yes,519.78,13.88,Medium,No,Large
2592,817.93,779.76,315.56,212661.8,Sandy,No,272.27,10.19,Low,Yes,Small
3287,165.86,124.69,50.46,43123.6,Sandy,Yes,418.18,10.66,Low,No,Small
4700,2017.43,1060.67,429.24,524531.8,Sandy,No,367.96,11.46,Medium,No,Large
4610,2732.49,1464.67,592.73,710447.4,Silty,No,405.45,14.5,Medium,Yes,Large
4247,3300.85,1920.55,777.22,858221,Clay,No,477.24,11.88,Medium,No,Medium
3308,2879.51,2150.97,870.47,748672.6,Loamy,No,447.28,10.08,Medium,No,Medium
2301,183.83,197.41,79.89,47795.8,Clay,No,223.95,11.68,Medium,Yes,Small
3845,2172.96,1396.49,565.14,564969.6,Clay,Yes,356.21,16.15,Medium,Yes,Small
4786,4695.26,2424.2,981.04,1220767.6,Clay,No,309.4,15.44,High,Yes,Medium
4041,950.28,581.09,235.16,247072.8,Silty,No,429.87,14.54,Medium,Yes,Small
4435,2299.37,1281.14,518.46,597836.2,Loamy,Yes,413.9,9.55,High,Yes,Small
3616,1512.68,1033.71,418.33,393296.8,Clay,No,379,12.68,High,No,Medium
3263,2492.67,1887.68,763.92,648094.2,Peaty,Yes,595.25,14.5,Medium,Yes,Large
3245,1693.89,1289.89,522,440411.4,Peaty,No,498.68,13.82,Medium,No,Medium
4589,1842.39,992.08,401.48,479021.4,Silty,Yes,308.77,9.94,Medium,Yes,Medium
3246,698.73,531.92,215.26,181669.8,Loamy,No,497.64,13.85,Medium,Yes,Large
4651,609.37,323.76,131.02,158436.2,Peaty,No,493.97,12.03,Medium,Yes,Small
3292,2200.47,1651.72,668.43,572122.2,Peaty,Yes,366.05,13.4,Medium,Yes,Small
2487,533.66,530.24,214.58,138751.6,Clay,Yes,227.72,13.35,Medium,Yes,Large
4401,3180.82,1785.95,722.75,827013.2,Silty,No,502.8,9.88,Low,No,Small
4740,3293.97,1717.21,694.93,856432.2,Clay,No,324.98,12.3,Low,No,Medium
3628,2650.8,1805.47,730.65,689208,Sandy,No,563.95,17.06,Medium,Yes,Small
4483,2533.34,1396.39,565.1,658668.4,Loamy,No,382.93,12.25,Medium,No,Large
2302,1154.04,1238.79,501.32,300050.4,Loamy,No,294.82,12.49,Medium,No,Small
2921,952.33,805.64,326.03,247605.8,Sandy,Yes,259.6,8.4,High,Yes,Large
2385,1023.55,1060.48,429.16,266123,Peaty,Yes,266.26,13.72,High,Yes,Medium
3805,1716.51,1114.74,451.12,446292.6,Clay,No,501.64,9.34,Medium,No,Large
3960,2555.07,1594.37,645.22,664318.2,Sandy,No,307.12,11.12,Medium,No,Small
3958,2949.38,1841.35,745.17,766838.8,Sandy,No,474.98,13.3,Low,No,Large
2592,339.89,324.03,131.13,88371.4,Peaty,Yes,264.06,16.87,Medium,No,Small
3318,2368.85,1764.18,713.94,615901,Sandy,Yes,378.18,7.86,High,No,Small
3729,3666.84,2429.86,983.33,953378.4,Loamy,No,462,13.14,Medium,No,Large
3554,635.81,442.07,178.9,165310.6,Sandy,No,566.2,13.54,Medium,Yes,Large
3659,1495.43,1009.92,408.7,388811.8,Loamy,No,326,9.67,Low,No,Small
3934,3098.03,1945.95,787.5,805487.8,Clay,No,344.66,13.9,Medium,No,Medium
4015,3447.2,2121.59,858.58,896272,Loamy,No,445.46,9.44,Medium,Yes,Small
3271,1475.06,1114.32,450.95,383515.6,Loamy,Yes,533.96,10.81,Medium,No,Small
4701,3965.25,2084.31,843.49,1030965,Silty,Yes,422.08,13.79,High,No,Medium
4756,1683.05,874.46,353.88,437593,Clay,Yes,548.27,12.43,High,No,Medium
4758,2453.84,1274.39,515.73,637998.4,Loamy,No,346.78,13.85,Medium,Yes,Large
3266,1919.26,1452.11,587.65,499007.6,Sandy,Yes,217.88,11.87,High,No,Medium
4632,2306.74,1230.58,498,599752.4,Loamy,Yes,437.97,9.83,High,No,Medium
3343,2914.86,2154.58,871.93,757863.6,Clay,No,535.06,9.83,High,Yes,Small
4015,2888.43,1777.7,719.41,750991.8,Loamy,Yes,450.83,16.51,High,Yes,Medium
3295,1837.13,1377.73,557.55,477653.8,Sandy,No,410.08,15.96,High,Yes,Medium
3475,1538.1,1093.74,442.62,399906,Clay,Yes,310.54,11.7,High,No,Small
4536,1327.01,722.91,292.55,345022.6,Loamy,No,519.58,11.7,High,No,Medium
2252,1443.94,1584.39,641.18,375424.4,Peaty,No,293.8,14.62,Medium,No,Small
4671,581.21,307.47,124.43,151114.6,Sandy,Yes,466.38,11.28,Low,No,Large
3813,3267.02,2117.22,856.81,849425.2,Peaty,Yes,478.5,8.84,Medium,Yes,Medium
4525,3664.8,2001.3,809.9,952848,Clay,Yes,424.05,8.88,Medium,No,Medium
3904,3798.55,2404.31,972.99,987623,Silty,Yes,354.31,16.07,Low,Yes,Small
4785,4418.09,2281.57,923.32,1148703.4,Loamy,Yes,412.96,14.59,Medium,No,Medium
4340,447.84,254.99,103.19,116438.4,Loamy,Yes,357.77,8.37,Medium,No,Large
4342,2508.03,1427.33,577.62,652087.8,Peaty,No,424.59,11.4,Low,Yes,Medium
3749,2555.36,1684.29,681.61,664393.6,Clay,Yes,392.31,11.68,Low,Yes,Medium
3993,1840.41,1138.93,460.91,478506.6,Loamy,No,388.85,12.53,Medium,No,Large
2811,2333.61,2051.39,830.17,606738.6,Peaty,No,227.63,10.17,Medium,Yes,Small
3794,2820.69,1837.13,743.46,733379.4,Clay,Yes,304.74,15.34,Low,No,Large
3759,1679.11,1103.79,446.69,436568.6,Peaty,No,611.58,10.06,High,No,Large
3266,776.16,587.25,237.65,201801.6,Silty,Yes,455.68,13.52,High,No,Medium
3020,1595.86,1305.78,528.43,414923.6,Silty,Yes,271.67,13.31,Medium,Yes,Medium
4778,3836.45,1984.1,802.94,997477,Clay,No,534.22,15.41,Low,No,Small
4299,4250.38,2443.1,988.69,1105098.8,Silty,No,392.13,12.76,Low,No,Medium
4589,890.91,479.73,194.14,231636.6,Silty,Yes,332.95,15.87,Medium,Yes,Medium
3355,2719.7,2003.13,810.64,707122,Clay,No,244.63,17.68,Medium,Yes,Large
4148,2378.26,1416.78,573.35,618347.6,Loamy,No,489.03,14.41,Medium,No,Large
3812,3662.57,2374.18,960.8,952268.2,Sandy,Yes,449.95,7.87,High,Yes,Medium
3672,661.22,444.96,180.07,171917.2,Clay,Yes,444.34,14.97,Low,Yes,Large
3411,2752.1,1993.72,806.83,715546,Peaty,No,448.3,9.54,Medium,Yes,Large
3256,2804.56,2128.44,861.35,729185.6,Clay,No,484.17,9.94,Medium,Yes,Large
3306,2534.21,1894.18,766.55,658894.6,Clay,No,392.03,13.99,Low,Yes,Medium
4589,1844.55,993.24,401.95,479583,Silty,No,369.21,13.46,Medium,No,Small
3474,1963.92,1396.93,565.32,510619.2,Peaty,No,430.66,12.66,Low,No,Large
3986,2670.58,1655.58,669.99,694350.8,Peaty,Yes,368.62,12.48,High,No,Small
3005,1595.56,1312.05,530.97,414845.6,Silty,No,266.49,17.65,High,No,Small
4238,404.69,235.96,95.49,105219.4,Loamy,Yes,631.67,10.79,Medium,No,Medium
2521,689.64,675.98,273.56,179306.4,Sandy,Yes,292,13.34,Low,Yes,Large
3725,699.18,463.82,187.7,181786.8,Peaty,Yes,337.96,16.4,Medium,No,Small
3259,2176.72,1650.44,667.91,565947.2,Loamy,Yes,425.01,10.65,High,No,Small
3576,2615.59,1807.4,731.43,680053.4,Loamy,No,399.98,9.15,Medium,Yes,Large
3948,2156.83,1349.96,546.31,560775.8,Loamy,Yes,307.98,13.85,High,Yes,Medium
4184,3236.91,1911.7,773.64,841596.6,Loamy,Yes,399.65,15.86,Medium,Yes,Small
4491,4371.4,2405.25,973.37,1136564,Sandy,No,563.15,10.32,Low,Yes,Large
3605,526.51,360.9,146.05,136892.6,Silty,No,476.82,15.34,Low,No,Small
2787,1251.5,1109.63,449.05,325390,Silty,Yes,242.59,14.74,Medium,Yes,Large
