average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,technology_adoption_year,policy_change_impact,climate_zone,farm_size_category
3470,763.09,543.41,219.91,389175.9,Silty,Yes,373.19,11.88,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
2460,1503.04,1509.79,610.99,766550.4,Loamy,No,275.04,8.75,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4326,1242.12,709.51,287.13,633481.2,Silty,Yes,450.28,10.95,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3937,3095.31,1942.76,786.21,1578608.1,Clay,No,317.37,11.24,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3991,3268.75,2023.86,819.03,1667062.5,Sandy,Yes,419.76,15.07,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4667,3095.99,1639.25,663.38,1578954.9,Sandy,No,481.07,13.88,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4781,3698.39,1911.51,773.56,1886178.9,Loamy,Yes,330.02,17.79,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3763,3583.32,2353.06,952.25,1827493.2,Silty,No,356.03,8.01,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4120,905.04,542.82,219.67,461570.4,Silty,No,330.13,12.95,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3319,3163.8,2355.5,953.24,1613538,Sandy,No,309.7,10.94,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3667,3386.18,2281.82,923.42,1726951.8,Sandy,No,492.93,14.63,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3728,3675.88,2436.5,986.02,1874698.8,Loamy,No,323.39,13.27,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2795,1744.92,1542.68,624.3,889909.2,Sandy,No,295.95,11.43,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2394,1271.12,1312.03,530.96,648271.2,Sandy,Yes,218.43,10.51,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4751,405.5,210.9,85.35,206805,Silty,Yes,450.55,9.5,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3582,2387.15,1646.78,666.43,1217446.5,Sandy,No,528.02,11.7,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4551,1417.5,769.66,311.47,722925,Peaty,No,480.07,10.58,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4583,3863.74,2083.24,843.06,1970507.4,Peaty,No,373.52,13.13,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4244,1922.53,1119.39,453,980490.3,Silty,Yes,350.41,8.1,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4450,2038.1,1131.74,458,1039431,Loamy,No,378.64,8.96,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3210,2278.81,1754.22,709.91,1162193.1,Peaty,No,284.07,11.08,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3412,687.65,498.02,201.54,350701.5,Silty,Yes,396.16,7.42,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4142,433.17,258.42,104.58,220916.7,Sandy,Yes,446.38,14.64,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4317,3472.21,1987.49,804.31,1770827.1,Peaty,No,483.73,13.93,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4699,3191.89,1678.51,679.27,1627863.9,Silty,No,369.68,11.54,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4335,258.63,147.42,59.66,131901.3,Peaty,Yes,333.48,14.01,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3962,336.22,209.69,84.86,171472.2,Sandy,No,440.81,13.35,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2738,1372.97,1239.11,501.45,700214.7,Peaty,No,343.34,4.72,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4492,1203.81,662.22,267.99,613943.1,Peaty,No,518.77,14.29,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3602,1193.45,818.73,331.33,608659.5,Loamy,Yes,452.21,6.95,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4684,4097.38,2161.58,874.76,2089663.8,Silty,No,335.15,15.05,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4118,937.5,562.56,227.66,478125,Clay,No,357.74,14.4,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2273,1065.51,1158.35,468.77,543410.1,Silty,Yes,277.41,7.99,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3504,366.2,258.25,104.51,186762,Sandy,Yes,450.36,10.12,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4520,2089.87,1142.51,462.36,1065833.7,Loamy,Yes,514.34,9.23,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4733,3774.57,1970.66,797.5,1925030.7,Clay,Yes,499.52,9.73,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3356,2441.89,1797.99,727.62,1245363.9,Sandy,Yes,254.89,8.05,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
2846,1745.62,1515.64,613.36,890266.2,Loamy,Yes,199.24,17.74,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2309,951.03,1017.78,411.88,485025.3,Clay,Yes,274.41,10.34,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4387,3937.24,2217.72,897.48,2007992.4,Peaty,No,446.19,13.42,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2414,590.61,604.57,244.66,301211.1,Silty,No,226.9,8.26,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
2732,817.99,739.86,299.41,417174.9,Silty,No,416.19,7.87,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4797,2748.2,1415.66,572.9,1401582,Silty,No,446.93,14.2,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4500,1614.29,886.44,358.73,823287.9,Loamy,No,306.99,11.55,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3469,515.84,367.45,148.7,263078.4,Sandy,No,588.02,12.21,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3404,1333.69,968.16,391.8,680181.9,Peaty,Yes,504.02,8.05,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3522,537.53,377.13,152.62,274140.3,Sandy,Yes,417.55,8.45,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2981,1086.96,901.02,364.63,554349.6,Silty,Yes,402.9,6.74,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2813,1407.85,1236.71,500.48,718003.5,Sandy,No,248.65,10.8,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4429,2869.5,1600.97,647.89,1463445,Peaty,No,452.77,12.3,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
2806,2535.28,2232.64,903.52,1292992.8,Clay,No,269.13,12.85,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4447,4408.36,2449.58,991.31,2248263.6,Loamy,No,412.06,14.31,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3491,1430.19,1012.34,409.68,729396.9,Loamy,Yes,475.69,10.2,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4488,4434.59,2441.64,988.1,2261640.9,Silty,No,489.44,18.8,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4609,1943.48,1041.97,421.67,991174.8,Silty,Yes,470.76,11.51,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3859,3236.12,2072.2,838.59,1650421.2,Clay,No,494.05,14.15,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4302,3394.28,1949.66,789,1731082.8,Peaty,Yes,342.47,18.03,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3874,2966.86,1892.43,765.84,1513098.6,Peaty,No,396.58,12.58,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3408,750.65,544.27,220.26,382831.5,Clay,No,467.72,10.52,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4261,2289.09,1327.5,537.22,1167435.9,Peaty,Yes,394.56,16.9,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4652,3971.78,2109.73,853.78,2025607.8,Loamy,Yes,397.84,15.54,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4306,3307.87,1898.26,768.2,1687013.7,Peaty,Yes,545.9,12.57,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4227,2288.03,1337.55,541.29,1166895.3,Silty,Yes,529.93,15.04,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4387,2711.6,1527.36,618.1,1382916,Sandy,Yes,545.61,15.62,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4160,387.88,230.4,93.24,197818.8,Clay,No,509.43,9.68,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4124,2662.62,1595.41,645.64,1357936.2,Sandy,Yes,490.35,10.78,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4273,4177.54,2415.85,977.66,2130545.4,Sandy,No,311.54,9.72,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3334,3298.19,2444.51,989.26,1682076.9,Sandy,Yes,260.32,15.62,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4210,2230.79,1309.36,529.88,1137702.9,Clay,No,484.69,17.41,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3409,1110.75,805.14,325.83,566482.5,Sandy,Yes,452.42,13.73,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4663,425.55,225.51,91.26,217030.5,Silty,Yes,479.33,12.81,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
2539,1691.66,1646.39,666.27,862746.6,Peaty,No,255.71,12.52,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
2932,599.33,505.11,204.41,305658.3,Loamy,No,394.46,5.43,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3236,3140.15,2397.86,970.38,1601476.5,Loamy,Yes,282.04,11.61,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4185,3205.67,1892.8,765.99,1634891.7,Peaty,No,468.57,16.55,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3870,759.76,485.12,196.32,387477.6,Sandy,No,500.82,13.5,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4286,300.53,173.27,70.12,153270.3,Clay,No,581.89,14.47,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2518,563.2,552.7,223.67,287232,Sandy,Yes,181.62,13.46,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3236,1918.43,1464.94,592.84,978399.3,Loamy,Yes,375.02,11.01,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2009,353.18,434.41,175.8,180121.8,Peaty,Yes,270.54,6.32,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3750,959.85,632.49,255.96,489523.5,Loamy,No,376.84,6.78,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
2323,1563.7,1663.36,673.14,797487,Silty,Yes,288.6,15.42,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4083,2099.44,1270.59,514.19,1070714.4,Sandy,Yes,424.16,9.31,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3474,311.41,221.5,89.64,158819.1,Sandy,No,316.19,9.04,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3480,265.42,188.47,76.27,135364.2,Loamy,Yes,379.5,12.34,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
2430,1764.62,1794.43,726.18,899956.2,Peaty,Yes,298.28,13.78,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4435,598.77,333.62,135.01,305372.7,Loamy,No,362.05,9.77,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4459,1250.3,692.88,280.4,637653,Clay,No,465.79,10.34,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4360,3328.6,1886.5,763.44,1697586,Peaty,Yes,484.78,9.79,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3647,685.38,464.38,187.93,349543.8,Loamy,No,379.98,12.93,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3205,1937.68,1493.95,604.58,988216.8,Sandy,Yes,247.65,13.82,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4664,4007.92,2123.45,859.33,2044039.2,Sandy,Yes,426.17,13.02,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4588,3707.98,1997.08,808.19,1891069.8,Clay,Yes,418.58,10.86,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3621,1552.72,1059.61,428.81,791887.2,Sandy,Yes,318.35,17.07,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4087,3356.86,2029.6,821.35,1711998.6,Sandy,No,567.92,12.76,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4600,1128.47,606.2,245.32,575519.7,Sandy,Yes,492.42,15.63,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
3600,1608.59,1104.14,446.83,820380.9,Peaty,Yes,387.18,15.52,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4754,2622.64,1363.2,551.67,1337546.4,Clay,No,369.84,15.16,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4521,2481.85,1356.51,548.96,1265743.5,Clay,Yes,427.53,13.15,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4146,542.59,323.39,130.87,276720.9,Peaty,Yes,407.23,14.07,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
